GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2017 inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2017 inflation-adjusted dollars)
8600000US71234,71234,ZCTA5 71234,56989,8142
8600000US71235,71235,ZCTA5 71235,41655,7267
8600000US71237,71237,ZCTA5 71237,26583,6998
8600000US71238,71238,ZCTA5 71238,58478,5167
8600000US71241,71241,ZCTA5 71241,38634,6185
8600000US71243,71243,ZCTA5 71243,54205,22858
8600000US71245,71245,ZCTA5 71245,23041,5366
8600000US71247,71247,ZCTA5 71247,30938,6842
8600000US71250,71250,ZCTA5 71250,-,**
8600000US71251,71251,ZCTA5 71251,31275,4677
8600000US71253,71253,ZCTA5 71253,25625,13874
8600000US71254,71254,ZCTA5 71254,19315,2075
8600000US71256,71256,ZCTA5 71256,35481,16376
8600000US71259,71259,ZCTA5 71259,48362,8056
8600000US71260,71260,ZCTA5 71260,41552,10036
8600000US71261,71261,ZCTA5 71261,23917,7323
8600000US71263,71263,ZCTA5 71263,39563,7650
8600000US71264,71264,ZCTA5 71264,42703,19336
8600000US71266,71266,ZCTA5 71266,50076,8630
8600000US71268,71268,ZCTA5 71268,60714,8032
8600000US71269,71269,ZCTA5 71269,34173,6059
8600000US71270,71270,ZCTA5 71270,32729,2477
8600000US71272,71272,ZCTA5 71272,-,**
8600000US71275,71275,ZCTA5 71275,48385,13068
8600000US71276,71276,ZCTA5 71276,52188,21594
8600000US71277,71277,ZCTA5 71277,47313,5658
8600000US71279,71279,ZCTA5 71279,-,**
8600000US71280,71280,ZCTA5 71280,51055,7998
8600000US71282,71282,ZCTA5 71282,28995,3072
8600000US71286,71286,ZCTA5 71286,38194,14313
